hour;user [W/m^2];appliances [W/m^2];workday_user;workday_appliances;weekend_user;weekend_appliances
0;2.8;2.4;1;0.5;1;0.5
1;2.8;2.4;1;0.5;1;0.5
2;2.8;2.4;1;0.5;1;0.5
3;2.8;2.4;1;0.5;1;0.5
4;2.8;2.4;1;0.5;1;0.5
5;2.8;2.4;1;0.5;1;0.5
6;2.8;2.4;0.5;0.7;0.8;0.5
7;2.8;2.4;0.5;0.7;0.8;0.7
8;2.8;2.4;0.5;0.7;0.8;0.7
9;2.8;2.4;0.1;0.5;0.8;0.5
10;2.8;2.4;0.1;0.5;0.8;0.5
11;2.8;2.4;0.1;0.6;0.8;0.6
12;2.8;2.4;0.1;0.6;0.8;0.6
13;2.8;2.4;0.2;0.6;0.8;0.6
14;2.8;2.4;0.2;0.6;0.8;0.6
15;2.8;2.4;0.2;0.5;0.8;0.5
16;2.8;2.4;0.5;0.5;0.8;0.5
17;2.8;2.4;0.5;0.7;0.8;0.7
18;2.8;2.4;0.5;0.7;0.8;0.7
19;2.8;2.4;0.8;0.8;0.8;0.8
20;2.8;2.4;0.8;0.8;0.8;0.8
21;2.8;2.4;0.8;0.8;0.8;0.8
22;2.8;2.4;1;0.6;1;0.6
23;2.8;2.4;1;0.6;1;0.6
